ItemType,OptionType,Rarity,Min,Max
Sword,공격력,Normal,1,5
Sword,공격력,Magic,3,8
Sword,공격력,Rare,6,12
Sword,공격속도,Normal,1,5
Sword,공격속도,Magic,3,8
Sword,공격속도,Rare,6,12
Sword,치명타확률,Normal,1,5
Sword,치명타확률,Magic,3,8
Sword,치명타확률,Rare,6,12
Sword,치명타피해량,Normal,1,5
Sword,치명타피해량,Magic,3,8
Sword,치명타피해량,Rare,6,12
Sword,힘,Normal,1,5
Sword,힘,Magic,3,8
Sword,힘,Rare,6,12
Sword,공격범위증가,Normal,1,5
Sword,공격범위증가,Magic,3,8
Sword,공격범위증가,Rare,6,12
Sword,투사체수증가,Normal,1,5
Sword,투사체수증가,Magic,3,8
Sword,투사체수증가,Rare,6,12
Sword,특수공격력증가,Normal,1,5
Sword,특수공격력증가,Magic,3,8
Sword,특수공격력증가,Rare,6,12
Sword,민첩,Normal,1,5
Sword,민첩,Magic,3,8
Sword,민첩,Rare,6,12
Axe,공격력,Normal,1,5
Axe,공격력,Magic,3,8
Axe,공격력,Rare,6,12
Axe,치명타피해량,Normal,1,5
Axe,치명타피해량,Magic,3,8
Axe,치명타피해량,Rare,6,12
Axe,힘,Normal,1,5
Axe,힘,Magic,3,8
Axe,힘,Rare,6,12
Axe,공격범위증가,Normal,1,5
Axe,공격범위증가,Magic,3,8
Axe,공격범위증가,Rare,6,12
Axe,특수공격력증가,Normal,1,5
Axe,특수공격력증가,Magic,3,8
Axe,특수공격력증가,Rare,6,12
Axe,투사체수증가,Normal,1,5
Axe,투사체수증가,Magic,3,8
Axe,투사체수증가,Rare,6,12
Axe,치명타확률,Normal,1,5
Axe,치명타확률,Magic,3,8
Axe,치명타확률,Rare,6,12
Axe,민첩,Normal,1,5
Axe,민첩,Magic,3,8
Axe,민첩,Rare,6,12
Bow,공격력,Normal,1,5
Bow,공격력,Magic,3,8
Bow,공격력,Rare,6,12
Bow,공격속도,Normal,1,5
Bow,공격속도,Magic,3,8
Bow,공격속도,Rare,6,12
Bow,치명타확률,Normal,1,5
Bow,치명타확률,Magic,3,8
Bow,치명타확률,Rare,6,12
Bow,민첩,Normal,1,5
Bow,민첩,Magic,3,8
Bow,민첩,Rare,6,12
Bow,투사체수증가,Normal,1,5
Bow,투사체수증가,Magic,3,8
Bow,투사체수증가,Rare,6,12
Bow,투사체속도증가,Normal,1,5
Bow,투사체속도증가,Magic,3,8
Bow,투사체속도증가,Rare,6,12
Bow,행운,Normal,1,5
Bow,행운,Magic,3,8
Bow,행운,Rare,6,12
Bow,공격범위증가,Normal,1,5
Bow,공격범위증가,Magic,3,8
Bow,공격범위증가,Rare,6,12
Crossbow,공격력,Normal,1,5
Crossbow,공격력,Magic,3,8
Crossbow,공격력,Rare,6,12
Crossbow,공격속도,Normal,1,5
Crossbow,공격속도,Magic,3,8
Crossbow,공격속도,Rare,6,12
Crossbow,치명타피해량,Normal,1,5
Crossbow,치명타피해량,Magic,3,8
Crossbow,치명타피해량,Rare,6,12
Crossbow,투사체속도증가,Normal,1,5
Crossbow,투사체속도증가,Magic,3,8
Crossbow,투사체속도증가,Rare,6,12
Crossbow,민첩,Normal,1,5
Crossbow,민첩,Magic,3,8
Crossbow,민첩,Rare,6,12
Crossbow,공격범위증가,Normal,1,5
Crossbow,공격범위증가,Magic,3,8
Crossbow,공격범위증가,Rare,6,12
Crossbow,치명타확률,Normal,1,5
Crossbow,치명타확률,Magic,3,8
Crossbow,치명타확률,Rare,6,12
Staff,지능,Normal,1,5
Staff,지능,Magic,3,8
Staff,지능,Rare,6,12
Staff,최대MP량증가,Normal,1,5
Staff,최대MP량증가,Magic,3,8
Staff,최대MP량증가,Rare,6,12
Staff,특수공격력증가,Normal,1,5
Staff,특수공격력증가,Magic,3,8
Staff,특수공격력증가,Rare,6,12
Staff,공격범위증가,Normal,1,5
Staff,공격범위증가,Magic,3,8
Staff,공격범위증가,Rare,6,12
Staff,초당MP회복량증가,Normal,1,5
Staff,초당MP회복량증가,Magic,3,8
Staff,초당MP회복량증가,Rare,6,12
Staff,초당MP회복속도증가,Normal,1,5
Staff,초당MP회복속도증가,Magic,3,8
Staff,초당MP회복속도증가,Rare,6,12
Staff,투사체수증가,Normal,1,5
Staff,투사체수증가,Magic,3,8
Staff,투사체수증가,Rare,6,12
Wand,지능,Normal,1,5
Wand,지능,Magic,3,8
Wand,지능,Rare,6,12
Wand,공격속도,Normal,1,5
Wand,공격속도,Magic,3,8
Wand,공격속도,Rare,6,12
Wand,특수공격력증가,Normal,1,5
Wand,특수공격력증가,Magic,3,8
Wand,특수공격력증가,Rare,6,12
Wand,최대MP량증가,Normal,1,5
Wand,최대MP량증가,Magic,3,8
Wand,최대MP량증가,Rare,6,12
Wand,초당MP회복속도증가,Normal,1,5
Wand,초당MP회복속도증가,Magic,3,8
Wand,초당MP회복속도증가,Rare,6,12
Wand,행운,Normal,1,5
Wand,행운,Magic,3,8
Wand,행운,Rare,6,12
Helmet,방어력,Normal,1,5
Helmet,방어력,Magic,3,8
Helmet,방어력,Rare,6,12
Helmet,최대HP량증가,Normal,1,5
Helmet,최대HP량증가,Magic,3,8
Helmet,최대HP량증가,Rare,6,12
Helmet,초당HP회복량증가,Normal,1,5
Helmet,초당HP회복량증가,Magic,3,8
Helmet,초당HP회복량증가,Rare,6,12
Helmet,초당HP회복속도증가,Normal,1,5
Helmet,초당HP회복속도증가,Magic,3,8
Helmet,초당HP회복속도증가,Rare,6,12
Helmet,힘,Normal,1,5
Helmet,힘,Magic,3,8
Helmet,힘,Rare,6,12
Helmet,민첩,Normal,1,5
Helmet,민첩,Magic,3,8
Helmet,민첩,Rare,6,12
Helmet,지능,Normal,1,5
Helmet,지능,Magic,3,8
Helmet,지능,Rare,6,12
Armor,방어력,Normal,1,5
Armor,방어력,Magic,3,8
Armor,방어력,Rare,6,12
Armor,최대HP량증가,Normal,1,5
Armor,최대HP량증가,Magic,3,8
Armor,최대HP량증가,Rare,6,12
Armor,초당HP회복속도증가,Normal,1,5
